
[MarioAI] ~ Evaluation Results: Evaluation lasted: 16683 ms; Status: Loss; Mode: small;  Passed (Cells): 50;  Passed (Phys): 810; Time Spent: 15; Time Left: 184; Coins: 14; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4969 ms; Status: Loss; Mode: small;  Passed (Cells): 17;  Passed (Phys): 277; Time Spent: 4; Time Left: 195; Coins: 1; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 56657 ms; Status: Loss; Mode: small;  Passed (Cells): 140;  Passed (Phys): 2251; Time Spent: 53; Time Left: 146; Coins: 62; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 7383 ms; Status: Loss; Mode: small;  Passed (Cells): 18;  Passed (Phys): 299; Time Spent: 7; Time Left: 193; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4897 ms; Status: Loss; Mode: small;  Passed (Cells): 17;  Passed (Phys): 282; Time Spent: 4; Time Left: 195; Coins: 2; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16969 ms; Status: Loss; Mode: small;  Passed (Cells): 48;  Passed (Phys): 778; Time Spent: 16; Time Left: 184; Coins: 9; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16400 ms; Status: Loss; Mode: small;  Passed (Cells): 49;  Passed (Phys): 785; Time Spent: 15; Time Left: 184; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

