
[MarioAI] ~ Evaluation Results: Evaluation lasted: 8856 ms; Status: Loss; Mode: small;  Passed (Cells): 48;  Passed (Phys): 777; Time Spent: 10; Time Left: 189; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 17546 ms; Status: Loss; Mode: small;  Passed (Cells): 104;  Passed (Phys): 1664; Time Spent: 21; Time Left: 178; Coins: 31; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 37180 ms; Status: Loss; Mode: small;  Passed (Cells): 198;  Passed (Phys): 3182; Time Spent: 45; Time Left: 154; Coins: 62; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22880 ms; Status: Loss; Mode: small;  Passed (Cells): 113;  Passed (Phys): 1812; Time Spent: 27; Time Left: 172; Coins: 43; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 12926 ms; Status: Loss; Mode: small;  Passed (Cells): 78;  Passed (Phys): 1248; Time Spent: 15; Time Left: 184; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 49830 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 60; Time Left: 139; Coins: 73; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 0; kills: 17; By Fire: 0; By Shell: 0; By Stomp: 17; MEMO INFO: WIN;  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8909 ms; Status: Loss; Mode: small;  Passed (Cells): 20;  Passed (Phys): 327; Time Spent: 10; Time Left: 189; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Flower];  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 10280 ms; Status: Loss; Mode: small;  Passed (Cells): 20;  Passed (Phys): 327; Time Spent: 12; Time Left: 187; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Flower];  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16006 ms; Status: Loss; Mode: small;  Passed (Cells): 83;  Passed (Phys): 1338; Time Spent: 19; Time Left: 180; Coins: 11; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18260 ms; Status: Loss; Mode: small;  Passed (Cells): 94;  Passed (Phys): 1513; Time Spent: 22; Time Left: 177; Coins: 13; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 11768 ms; Status: Loss; Mode: small;  Passed (Cells): 42;  Passed (Phys): 674; Time Spent: 14; Time Left: 185; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 29315 ms; Status: Loss; Mode: small;  Passed (Cells): 127;  Passed (Phys): 2036; Time Spent: 35; Time Left: 164; Coins: 14; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 10

