
[MarioAI] ~ Evaluation Results: Evaluation lasted: 21669 ms; Status: Loss; Mode: small;  Passed (Cells): 77;  Passed (Phys): 1238; Time Spent: 26; Time Left: 173; Coins: 26; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16499 ms; Status: Loss; Mode: small;  Passed (Cells): 56;  Passed (Phys): 908; Time Spent: 20; Time Left: 180; Coins: 24; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6544 ms; Status: Loss; Mode: small;  Passed (Cells): 27;  Passed (Phys): 446; Time Spent: 8; Time Left: 192; Coins: 7; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2637 ms; Status: Loss; Mode: small;  Passed (Cells): 13;  Passed (Phys): 218; Time Spent: 3; Time Left: 196; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18810 ms; Status: Loss; Mode: small;  Passed (Cells): 65;  Passed (Phys): 1044; Time Spent: 22; Time Left: 177; Coins: 26; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8139 ms; Status: Loss; Mode: small;  Passed (Cells): 38;  Passed (Phys): 611; Time Spent: 9; Time Left: 190; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 89538 ms; Status: Loss; Mode: small;  Passed (Cells): 238;  Passed (Phys): 3814; Time Spent: 108; Time Left: 91; Coins: 100; Hidden blocks: 0; Mushrooms: 2; Flowers: 0; Collisions: 2; kills: 20; By Fire: 0; By Shell: 0; By Stomp: 20; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 25463 ms; Status: Loss; Mode: small;  Passed (Cells): 65;  Passed (Phys): 1050; Time Spent: 30; Time Left: 169; Coins: 33; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 6; By Fire: 0; By Shell: 0; By Stomp: 6; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13034 ms; Status: Loss; Mode: small;  Passed (Cells): 42;  Passed (Phys): 682; Time Spent: 15; Time Left: 184; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

